exercise,phase,elbow,shoulder,hip,knee,ankle,form,correction_needed,feedback_tag,accuracy,front_knee,front_hip,back_knee,back_hip
Push-up,end,180.0,,,,,good,False,,91.3,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,83.2,,,,
Push-up,end,180.0,,,,,good,False,,85.5,,,,
Push-up,end,180.0,,,,,good,False,,95.8,,,,
Push-up,end,180.0,,,,,good,False,,92.0,,,,
Push-up,end,180.0,,,,,good,False,,86.8,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,99.7,,,,
Push-up,end,180.0,,,,,good,False,,83.8,,,,
Push-up,end,180.0,,,,,good,False,,83.6,,,,
Push-up,mid,40.7,0.7,180.0,180.0,90.0,good,False,,82.2,,,,
Push-up,end,180.0,,,,,good,False,,95.4,,,,
Push-up,mid,43.4,7.7,180.0,180.0,90.0,good,False,,97.6,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,80.9,,,,
Push-up,mid,52.3,4.4,180.0,180.0,90.0,good,False,,97.6,,,,
Push-up,mid,58.4,2.2,180.0,180.0,90.0,good,False,,86.3,,,,
Push-up,end,180.0,,,,,good,False,,98.3,,,,
Push-up,mid,58.1,2.2,180.0,180.0,90.0,good,False,,81.3,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,100.0,,,,
Push-up,end,180.0,,,,,good,False,,97.2,,,,
Push-up,mid,42.3,7.0,180.0,180.0,90.0,good,False,,85.1,,,,
Push-up,end,180.0,,,,,good,False,,80.7,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,99.1,,,,
Push-up,mid,52.6,7.3,180.0,180.0,90.0,good,False,,92.2,,,,
Push-up,end,180.0,,,,,good,False,,99.6,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,88.0,,,,
Push-up,mid,51.0,7.0,180.0,180.0,90.0,good,False,,90.5,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,98.0,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,92.8,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,80.8,,,,
Push-up,end,180.0,,,,,good,False,,82.7,,,,
Push-up,mid,59.4,3.1,180.0,180.0,90.0,good,False,,87.0,,,,
Push-up,mid,49.3,10.0,180.0,180.0,90.0,good,False,,91.1,,,,
Push-up,mid,45.1,2.4,180.0,180.0,90.0,good,False,,84.8,,,,
Push-up,mid,51.5,3.2,180.0,180.0,90.0,good,False,,93.7,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,80.0,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,94.7,,,,
Push-up,mid,55.1,0.1,180.0,180.0,90.0,good,False,,85.8,,,,
Push-up,end,180.0,,,,,good,False,,90.9,,,,
Push-up,end,180.0,,,,,good,False,,83.7,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,84.8,,,,
Push-up,mid,43.3,7.4,180.0,180.0,90.0,good,False,,86.1,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,93.3,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,99.9,,,,
Push-up,mid,53.7,0.2,180.0,180.0,90.0,good,False,,82.2,,,,
Push-up,end,180.0,,,,,good,False,,90.1,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,85.6,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,89.8,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,98.5,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,96.4,,,,
Push-up,end,180.0,,,,,good,False,,85.9,,,,
Push-up,end,180.0,,,,,good,False,,93.0,,,,
Push-up,end,185.5,,,,,bad,True,Elbow angle out of range,70.0,,,,
Push-up,start,,208.6,193.0,184.1,97.1,bad,True,Hip sagging/piking,40.0,,,,
Push-up,mid,30.1,31.2,190.1,181.0,77.7,bad,True,Hip sagging/piking,58.7,,,,
Push-up,end,199.7,,,,,bad,True,Elbow angle out of range,53.8,,,,
Push-up,mid,81.4,-8.2,181.5,161.2,83.2,bad,True,Partial range of motion,62.3,,,,
Push-up,mid,19.9,-22.2,173.9,160.3,81.1,bad,True,Hip sagging/piking,46.2,,,,
Push-up,end,209.6,,,,,bad,True,Hip sagging/piking,59.0,,,,
Push-up,start,,197.6,178.9,156.9,105.2,bad,True,Elbow angle out of range,62.8,,,,
Push-up,mid,69.0,-11.5,192.7,165.6,102.7,bad,True,Hip sagging/piking,56.8,,,,
Push-up,end,160.4,,,,,bad,True,Hip sagging/piking,64.3,,,,
Push-up,mid,82.7,15.0,166.7,160.8,61.6,bad,True,Partial range of motion,49.3,,,,
Push-up,mid,85.9,-5.8,156.8,203.7,94.4,bad,True,Partial range of motion,62.0,,,,
Push-up,end,177.6,,,,,bad,True,Partial range of motion,49.9,,,,
Push-up,end,185.6,,,,,bad,True,Elbow angle out of range,54.6,,,,
Push-up,end,156.8,,,,,bad,True,Hip sagging/piking,48.0,,,,
Push-up,start,,157.5,208.5,153.3,62.5,bad,True,Hip sagging/piking,61.1,,,,
Push-up,mid,67.2,22.8,199.1,166.8,94.5,bad,True,Hip sagging/piking,45.8,,,,
Push-up,end,153.9,,,,,bad,True,Hip sagging/piking,47.8,,,,
Push-up,start,,171.0,160.4,153.7,79.9,bad,True,Hip sagging/piking,66.3,,,,
Push-up,end,177.8,,,,,bad,True,Hip sagging/piking,56.1,,,,
Push-up,end,150.6,,,,,bad,True,Elbow angle out of range,40.6,,,,
Push-up,start,,207.7,208.2,173.9,102.3,bad,True,Hip sagging/piking,57.8,,,,
Push-up,end,163.3,,,,,bad,True,Partial range of motion,48.1,,,,
Push-up,start,,168.5,207.3,173.8,92.8,bad,True,Partial range of motion,58.0,,,,
Push-up,mid,18.3,22.6,173.2,168.5,119.3,bad,True,Elbow angle out of range,51.0,,,,
Push-up,start,,175.3,188.0,162.6,102.4,bad,True,Elbow angle out of range,67.4,,,,
Push-up,start,,176.5,176.5,185.9,69.2,bad,True,Partial range of motion,69.6,,,,
Push-up,end,158.7,,,,,bad,True,Elbow angle out of range,65.4,,,,
Push-up,start,,190.4,175.3,207.0,61.6,bad,True,Partial range of motion,46.7,,,,
Push-up,mid,36.2,28.4,159.1,162.1,79.2,bad,True,Partial range of motion,59.0,,,,
Push-up,mid,37.4,26.7,167.4,184.4,78.1,bad,True,Partial range of motion,49.3,,,,
Push-up,start,,172.7,170.2,185.8,91.3,bad,True,Partial range of motion,67.1,,,,
Push-up,end,161.6,,,,,bad,True,Elbow angle out of range,48.0,,,,
Push-up,start,,174.1,191.0,203.9,109.0,bad,True,Partial range of motion,60.3,,,,
Push-up,start,,166.0,191.6,197.4,105.5,bad,True,Hip sagging/piking,42.4,,,,
Push-up,mid,70.7,-11.8,176.3,152.9,102.4,bad,True,Elbow angle out of range,47.4,,,,
Push-up,mid,86.7,-20.8,189.3,153.0,71.2,bad,True,Elbow angle out of range,40.0,,,,
Push-up,start,,162.3,196.8,171.2,112.1,bad,True,Elbow angle out of range,59.3,,,,
Push-up,end,182.2,,,,,bad,True,Partial range of motion,54.1,,,,
Push-up,start,,196.1,187.8,183.1,93.3,bad,True,Elbow angle out of range,54.7,,,,
Push-up,mid,26.9,21.8,153.5,209.1,79.3,bad,True,Partial range of motion,45.9,,,,
Push-up,end,161.7,,,,,bad,True,Elbow angle out of range,58.4,,,,
Push-up,start,,157.3,200.8,160.4,85.7,bad,True,Partial range of motion,51.0,,,,
Push-up,end,206.4,,,,,bad,True,Hip sagging/piking,69.7,,,,
Push-up,mid,82.2,-26.2,176.1,200.8,119.0,bad,True,Partial range of motion,67.7,,,,
Push-up,start,,181.2,190.9,193.7,70.0,bad,True,Elbow angle out of range,68.6,,,,
Push-up,mid,68.0,-7.4,170.8,178.7,94.9,bad,True,Partial range of motion,66.4,,,,
Push-up,start,,186.3,207.8,169.2,112.5,bad,True,Partial range of motion,55.4,,,,
Push-up,start,,156.7,207.3,195.2,81.7,bad,True,Elbow angle out of range,42.8,,,,
Push-up,mid,12.8,-25.9,164.3,183.4,112.4,bad,True,Elbow angle out of range,65.2,,,,
Push-up,mid,78.1,-2.5,164.1,178.9,118.5,bad,True,Elbow angle out of range,40.5,,,,
Push-up,mid,79.1,39.3,163.2,185.9,103.5,bad,True,Hip sagging/piking,45.8,,,,
Push-up,start,,200.2,152.2,209.1,77.2,bad,True,Elbow angle out of range,67.8,,,,
Push-up,mid,77.2,19.4,152.8,181.9,105.8,bad,True,Partial range of motion,53.0,,,,
Push-up,mid,25.3,-19.6,172.4,189.9,117.0,bad,True,Partial range of motion,60.5,,,,
Push-up,mid,79.5,35.4,167.2,153.8,87.4,bad,True,Hip sagging/piking,54.3,,,,
Push-up,mid,33.9,-16.3,150.1,177.6,78.2,bad,True,Hip sagging/piking,68.8,,,,
Push-up,start,,171.2,194.3,151.6,70.3,bad,True,Partial range of motion,45.8,,,,
Push-up,end,155.6,,,,,bad,True,Partial range of motion,41.9,,,,
Push-up,end,155.6,,,,,bad,True,Partial range of motion,66.8,,,,
Push-up,end,208.1,,,,,bad,True,Hip sagging/piking,64.8,,,,
Push-up,mid,26.9,-20.1,165.0,190.6,105.6,bad,True,Elbow angle out of range,59.7,,,,
Push-up,start,,197.9,208.8,202.6,101.9,bad,True,Partial range of motion,63.7,,,,
Push-up,start,,168.0,167.5,189.6,113.1,bad,True,Hip sagging/piking,61.3,,,,
Push-up,end,172.9,,,,,bad,True,Partial range of motion,45.0,,,,
Push-up,end,164.6,,,,,bad,True,Partial range of motion,52.0,,,,
Push-up,mid,85.2,18.8,153.3,166.3,92.0,bad,True,Partial range of motion,54.5,,,,
Push-up,end,182.5,,,,,bad,True,Partial range of motion,51.5,,,,
Push-up,start,,200.5,208.7,191.8,108.2,bad,True,Partial range of motion,50.4,,,,
Push-up,start,,173.3,163.7,208.5,100.9,bad,True,Hip sagging/piking,47.9,,,,
Push-up,mid,86.0,26.4,166.8,191.6,92.8,bad,True,Elbow angle out of range,56.0,,,,
Push-up,mid,27.5,-9.7,193.7,182.1,60.6,bad,True,Partial range of motion,67.3,,,,
Push-up,mid,20.1,14.2,174.6,208.4,79.0,bad,True,Hip sagging/piking,47.4,,,,
Push-up,end,185.6,,,,,bad,True,Elbow angle out of range,61.8,,,,
Push-up,mid,33.1,-12.9,161.8,194.2,87.4,bad,True,Partial range of motion,64.8,,,,
Push-up,end,155.7,,,,,bad,True,Hip sagging/piking,47.8,,,,
Push-up,end,198.5,,,,,bad,True,Elbow angle out of range,62.9,,,,
Push-up,end,172.9,,,,,bad,True,Elbow angle out of range,65.7,,,,
Push-up,start,,197.9,190.4,197.9,78.8,bad,True,Hip sagging/piking,48.4,,,,
Push-up,start,,169.8,197.4,178.3,74.6,bad,True,Elbow angle out of range,55.9,,,,
Push-up,mid,23.6,-9.2,160.9,186.4,104.2,bad,True,Hip sagging/piking,67.9,,,,
Push-up,end,203.9,,,,,bad,True,Hip sagging/piking,58.6,,,,
Push-up,start,,171.6,176.6,186.5,77.5,bad,True,Hip sagging/piking,51.7,,,,
Push-up,mid,33.9,-22.8,172.2,158.2,72.4,bad,True,Partial range of motion,65.2,,,,
Push-up,mid,25.6,25.6,177.7,204.1,78.6,bad,True,Hip sagging/piking,54.6,,,,
Push-up,mid,83.9,-14.9,185.3,204.5,113.7,bad,True,Elbow angle out of range,57.8,,,,
Push-up,mid,32.4,30.7,151.6,175.4,83.3,bad,True,Partial range of motion,45.1,,,,
Push-up,start,,178.9,157.0,164.7,104.5,bad,True,Elbow angle out of range,44.1,,,,
Push-up,mid,81.2,24.4,151.5,160.6,82.1,bad,True,Hip sagging/piking,52.5,,,,
Push-up,start,,151.5,194.1,185.7,98.1,bad,True,Hip sagging/piking,63.2,,,,
Push-up,start,,171.1,153.7,185.4,103.8,bad,True,Hip sagging/piking,54.3,,,,
Push-up,mid,10.1,13.0,189.6,205.0,98.4,bad,True,Elbow angle out of range,53.8,,,,
Push-up,mid,82.8,22.0,164.9,182.8,76.7,bad,True,Partial range of motion,63.3,,,,
Push-up,mid,82.8,-7.1,155.4,181.8,62.8,bad,True,Hip sagging/piking,67.3,,,,
Push-up,end,161.0,,,,,bad,True,Elbow angle out of range,65.1,,,,
Push-up,mid,73.3,35.2,160.6,199.1,68.6,bad,True,Partial range of motion,60.4,,,,
Push-up,end,176.0,,,,,bad,True,Elbow angle out of range,47.6,,,,
Push-up,start,,191.8,172.3,163.0,83.0,bad,True,Elbow angle out of range,56.5,,,,
Push-up,start,,209.0,205.8,167.2,101.7,bad,True,Elbow angle out of range,66.2,,,,
Push-up,start,,177.2,202.4,163.3,77.8,bad,True,Partial range of motion,67.3,,,,
Push-up,end,204.9,,,,,bad,True,Hip sagging/piking,49.8,,,,
Push-up,end,183.2,,,,,bad,True,Elbow angle out of range,57.3,,,,
Push-up,start,,178.1,201.6,184.4,87.7,bad,True,Elbow angle out of range,63.7,,,,
Push-up,start,,207.6,191.7,199.0,100.3,bad,True,Partial range of motion,46.1,,,,
Push-up,start,,168.6,161.4,168.5,108.0,bad,True,Partial range of motion,64.6,,,,
Push-up,start,,187.7,153.2,153.6,106.8,bad,True,Partial range of motion,55.6,,,,
Push-up,mid,36.4,33.4,193.2,167.0,104.5,bad,True,Partial range of motion,59.7,,,,
Push-up,start,,183.3,164.2,185.4,85.2,bad,True,Hip sagging/piking,53.7,,,,
Push-up,mid,30.1,-28.5,195.1,183.0,105.5,bad,True,Partial range of motion,44.9,,,,
Push-up,start,,165.4,178.5,186.9,118.4,bad,True,Elbow angle out of range,55.4,,,,
Push-up,mid,71.5,-26.5,156.2,170.4,112.9,bad,True,Hip sagging/piking,60.4,,,,
Push-up,mid,77.8,-24.3,165.3,196.4,98.9,bad,True,Partial range of motion,48.2,,,,
